# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
461 110.018 630.391 -128.061
462 82.6193 674.873 -97.6394
463 60.097 715.881 -72.8975
464 43.9372 750.677 -53.2177
465 35.7765 777.359 -37.336
466 36.4736 796.026 -23.4534
467 46.5609 807.142 -9.89363
468 65.1518 811.624 4.93985
469 90.4749 810.544 22.0341
470 119.614 804.787 41.5323
471 149.247 794.787 62.5014
472 175.892 780.938 83.6197
473 196.984 763.3 102.766
474 210.772 741.845 117.147
475 216.787 716.601 124.124
476 215.521 687.448 121.59
477 208.438 654.142 108.201
478 197.17 616.789 83.9745
479 183.503 575.498 50.676
480 169.417 531.457 11.1546
481 157.046 486.549 -30.9387
482 148.008 443.185 -71.4334
483 144.296 404.324 -106.653
484 147.349 372.267 -134.225
485 157.786 348.578 -152.324
486 175.419 334.154 -160.441
487 199.198 328.79 -159.29
488 226.342 331.346 -150.587
489 253.688 339.78 -136.095
490 277.059 351.476 -118.616
491 292.154 363.682 -99.9895
492 295.16 373.573 -82.8773
493 283.355 378.788 -68.5548
494 255.625 377.861 -58.1149
495 211.934 370.107 -52.1085
496 154.202 355.517 -49.9191
497 85.224 334.739 -50.1882
498 9.08637 308.802 -50.8138
499 -70.0117 278.905 -49.8219
500 -147.403 246.192 -44.9872
