# Chunk-averaged data for fix dmap and group liq
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 15316.000000000104
  266 0.75 16.25 0.0854 0.130583
  267 0.75 16.75 0.121 0.183005
  268 0.75 17.25 0.1656 0.215573
  269 0.75 17.75 0.1636 0.203222
  270 0.75 18.25 0.156 0.251854
  271 0.75 18.75 0.1724 0.282248
  272 0.75 19.25 0.2086 0.261602
  273 0.75 19.75 0.23 0.342197
  274 0.75 20.25 0.2856 0.389925
  275 0.75 20.75 0.3368 0.477434
  276 0.75 21.25 0.3606 0.550692
  277 0.75 21.75 0.3838 0.575356
  278 0.75 22.25 0.4204 0.693118
  279 0.75 22.75 0.4896 0.832835
  280 0.75 23.25 0.5464 0.915891
  281 0.75 23.75 0.6238 1.0319
  282 0.75 24.25 0.6656 1.24579
  283 0.75 24.75 0.6368 1.10679
  284 0.75 25.25 0.6692 1.12607
  285 0.75 25.75 0.6556 1.10638
  286 0.75 26.25 0.6512 1.07684
  287 0.75 26.75 0.7664 1.45893
  288 0.75 27.25 0.6888 1.27688
  289 0.75 27.75 0.6814 1.16931
  290 0.75 28.25 0.6776 1.21378
  291 0.75 28.75 0.673 1.21015
  292 0.75 29.25 0.7398 1.42106
  293 0.75 29.75 0.7346 1.41622
  294 0.75 30.25 0.7082 1.32751
  295 0.75 30.75 0.7036 1.20638
  296 0.75 31.25 0.658 1.064
  297 0.75 31.75 0.6962 1.32956
  298 0.75 32.25 0.7028 1.38498
  299 0.75 32.75 0.704 1.19602
  300 0.75 33.25 0.6622 1.14677
  301 0.75 33.75 0.6924 1.17296
  302 0.75 34.25 0.6724 1.31009
  303 0.75 34.75 0.724 1.3381
  304 0.75 35.25 0.746 1.41753
  305 0.75 35.75 0.7466 1.41199
  306 0.75 36.25 0.7572 1.26258
  307 0.75 36.75 0.7484 1.34704
  308 0.75 37.25 0.7164 1.13711
  309 0.75 37.75 0.6778 1.21873
  310 0.75 38.25 0.6006 1.11537
  311 0.75 38.75 0.7076 1.39972
  312 0.75 39.25 0.7026 1.42473
  313 0.75 39.75 0.656 1.19635
  314 0.75 40.25 0.6964 1.57289
  315 0.75 40.75 0.6946 1.35724
  316 0.75 41.25 0.7078 1.26525
  317 0.75 41.75 0.714 1.27845
  318 0.75 42.25 0.6936 1.34394
  319 0.75 42.75 0.6932 1.35407
  320 0.75 43.25 0.7052 1.3817
  321 0.75 43.75 0.7164 1.53117
  322 0.75 44.25 0.7634 1.55606
  323 0.75 44.75 0.7372 1.40604
  324 0.75 45.25 0.6778 1.19082
  325 0.75 45.75 0.6506 1.17077
  326 0.75 46.25 0.6808 1.24705
  327 0.75 46.75 0.6628 1.29082
  328 0.75 47.25 0.6736 1.25653
  329 0.75 47.75 0.765 1.38084
  330 0.75 48.25 0.729 1.39533
  331 0.75 48.75 0.7578 1.42265
  332 0.75 49.25 0.7116 1.38423
  333 0.75 49.75 0.654 1.29523
  334 0.75 50.25 0.6664 1.13532
  335 0.75 50.75 0.6804 1.30183
  336 0.75 51.25 0.6752 1.22809
  337 0.75 51.75 0.7094 1.48537
  338 0.75 52.25 0.688 1.27508
  339 0.75 52.75 0.699 1.37132
  340 0.75 53.25 0.6834 1.43365
  341 0.75 53.75 0.6614 1.0879
  342 0.75 54.25 0.6676 1.26964
  343 0.75 54.75 0.71 1.47477
  344 0.75 55.25 0.6454 1.13669
  345 0.75 55.75 0.6842 1.24197
  346 0.75 56.25 0.663 1.18597
  347 0.75 56.75 0.7112 1.34986
  348 0.75 57.25 0.6704 1.2506
  349 0.75 57.75 0.734 1.27719
  350 0.75 58.25 0.6796 1.16123
  351 0.75 58.75 0.6716 1.22407
  352 0.75 59.25 0.6434 1.18069
  353 0.75 59.75 0.7198 1.21516
  354 0.75 60.25 0.746 1.19998
  355 0.75 60.75 0.734 1.26733
  356 0.75 61.25 0.7844 1.3322
  357 0.75 61.75 0.7452 1.22204
  358 0.75 62.25 0.75 1.18947
  359 0.75 62.75 0.754 1.19872
  360 0.75 63.25 0.6988 1.07917
  361 0.75 63.75 0.7002 1.07987
  362 0.75 64.25 0.7102 1.05878
  363 0.75 64.75 0.709 1.19428
  364 0.75 65.25 0.755 1.13528
  365 0.75 65.75 0.7734 1.22152
  366 0.75 66.25 0.7214 1.09493
  367 0.75 66.75 0.68 1.21832
  368 0.75 67.25 0.6638 1.20713
  369 0.75 67.75 0.6614 1.14014
  370 0.75 68.25 0.747 1.33785
  371 0.75 68.75 0.7418 1.35321
  372 0.75 69.25 0.7644 1.35482
  373 0.75 69.75 0.7782 1.38992
  374 0.75 70.25 0.7436 1.30752
  375 0.75 70.75 0.7392 1.30813
  376 0.75 71.25 0.7746 1.44119
  377 0.75 71.75 0.7484 1.53063
  378 0.75 72.25 0.7084 1.38625
  379 0.75 72.75 0.683 1.15717
  380 0.75 73.25 0.703 1.22445
  381 0.75 73.75 0.7216 1.22154
  382 0.75 74.25 0.7222 1.34811
  383 0.75 74.75 0.7726 1.34004
  384 0.75 75.25 0.7992 1.39957
  385 0.75 75.75 0.7604 1.4756
  386 0.75 76.25 0.6544 1.23776
  387 0.75 76.75 0.6478 1.09824
  388 0.75 77.25 0.7056 1.09583
  389 0.75 77.75 0.766 1.31016
  390 0.75 78.25 0.7492 1.28957
  391 0.75 78.75 0.675 1.30235
  392 0.75 79.25 0.6678 1.31278
  393 0.75 79.75 0.7046 1.29871
  394 0.75 80.25 0.7336 1.38659
  395 0.75 80.75 0.7214 1.37404
  396 0.75 81.25 0.694 1.28791
  397 0.75 81.75 0.6722 1.24688
  398 0.75 82.25 0.6638 1.3606
  399 0.75 82.75 0.6744 1.32385
  400 0.75 83.25 0.6586 1.4188
  401 0.75 83.75 0.6788 1.51786
  402 0.75 84.25 0.7256 1.49244
  403 0.75 84.75 0.6752 1.24859
  404 0.75 85.25 0.6578 1.16573
  405 0.75 85.75 0.6756 1.12186
  406 0.75 86.25 0.7472 1.32247
  407 0.75 86.75 0.7544 1.34501
  408 0.75 87.25 0.7924 1.35917
  409 0.75 87.75 0.8048 1.65466
  410 0.75 88.25 0.6716 1.48403
  411 0.75 88.75 0.5762 1.16735
  412 0.75 89.25 0.5964 1.01695
  413 0.75 89.75 0.7702 1.12991
  414 0.75 90.25 1.0796 1.77959
  415 0.75 90.75 0.9452 1.6468
  416 0.75 91.25 0.3052 0.312907
  417 0.75 91.75 0.1324 0.08146
  418 0.75 92.25 0.0628 0.0724323
  419 0.75 92.75 0.0434 0.0727498
  420 0.75 93.25 0.0246 0.041337
  421 0.75 93.75 0.012 0.00533331
  422 0.75 94.25 0.0036 0.00213106
  423 0.75 94.75 0.0006 0.000133898
  424 0.75 95.25 0.0002 4.46326e-05
