# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
425 -5.16265 -148.507 739.091
426 -16.7567 -165.415 757.009
427 -21.6928 -184.761 766.231
428 -19.2248 -206.992 764.925
429 -9.0052 -230.862 752.465
430 8.85576 -254.449 728.898
431 33.3351 -275.131 695.262
432 62.5027 -291.251 653.468
433 93.302 -302.351 604.944
434 122.318 -309.314 551.32
435 146.106 -313.691 493.824
436 161.483 -317.291 433.427
437 166.704 -320.486 371.428
438 160.543 -322.703 309.161
439 142.514 -322.002 248.934
440 112.612 -316.229 192.788
441 71.3439 -303.67 143.368
442 20.0746 -283.663 102.171
443 -38.7558 -257.481 69.8914
444 -101.273 -227.713 46.6619
445 -162.932 -197.77 32.3047
446 -219.27 -171.197 26.8569
447 -266.697 -150.596 30.3097
448 -303.466 -137.759 43.1545
449 -329.566 -132.734 65.2589
450 -346.631 -135.151 95.6631
451 -357.004 -143.843 133.604
452 -363.988 -157.912 177.19
453 -370.55 -176.335 224.736
454 -379.062 -197.579 274.335
455 -391.245 -220.221 324.126
456 -408.098 -241.808 372.13
457 -429.694 -259.612 416.816
458 -454.695 -270.306 456.525
459 -480.731 -272.029 489.967
460 -504.103 -263.105 516.117
461 -521.056 -243.601 534.129
462 -527.916 -214.891 543.814
463 -521.718 -178.944 545.477
464 -501.262 -138.254 540.486
465 -466.826 -95.0238 531.003
466 -419.927 -50.938 520.205
467 -363.353 -7.18907 511.541
468 -300.311 35.3401 508.114
469 -233.446 76.0085 512.138
470 -165.238 114.665 524.16
471 -96.6913 152.034 543.698
472 -28.4479 189.21 568.808
473 38.5513 227.888 597.97
474 103.266 270.063 629.839
475 164.71 317.122 663.926
476 221.943 369.879 699.981
477 274.531 428.57 738.221
478 323.305 491.669 778.377
479 369.669 557.493 819.564
480 415.755 623.369 860.541
481 463.668 686.428 898.853
482 515.262 744.172 932.192
483 571.32 794.652 957.911
484 631.536 837.143 973.93
485 693.854 871.094 978.737
486 755.163 896.222 970.981
487 811.59 912.148 950.245
488 859.782 918.163 915.998
489 897.542 913.125 869.026
490 924.46 895.677 810.526
491 942.826 864.582 743.33
492 956.083 819.55 670.856
493 969.043 761.014 597.335
494 986.304 690.04 526.609
495 1010.97 608.824 461.823
496 1043.62 519.117 404.089
497 1082.21 422.894 352.671
498 1121.79 322.486 305.693
499 1156.28 220.568 261.068
500 1179.61 119.699 217.663
501 1186.9 22.739 175.083
502 1175.3 -67.5853 134.222
503 1143.94 -149.18 96.1204
504 1095.01 -220.377 61.355
505 1033.01 -280.028 30.1254
506 964.038 -326.719 1.57162
507 894.882 -358.309 -24.373
508 831.967 -372.463 -47.9434
509 780.015 -366.898 -68.3243
510 742.087 -340.274 -83.9887
511 718.584 -293.28 -93.1222
512 708.791 -228.359 -93.9659
513 710.555 -149.668 -85.8116
514 721.678 -62.4183 -69.6193
515 739.422 27.9904 -47.6181
516 760.802 116.228 -23.1122
517 782.616 197.665 0.629274
518 801.726 268.418 21.6276
519 815.024 325.885 39.4081
520 820.521 368.175 55.1751
521 817.701 394.558 71.0059
522 807.035 404.761 88.5865
523 790.908 399.065 109.196
524 772.138 378.507 133.993
525 754.439 345.398 164.08
526 741.162 303.462 201.132
527 734.416 257.578 246.605
528 735.645 212.97 301.829
529 744.508 174.628 367.413
530 760.065 146.502 442.93
531 780.702 131.021 526.826
532 805.684 128.43 616.499
533 834.79 137.101 708.483
534 868.017 153.543 798.026
535 905.145 172.649 879.962
536 945.144 188.223 948.217
537 985.556 194.917 997.606
538 1023.05 188.876 1024.06
539 1053.91 169.194 1025.77
540 1075.02 137.662 1003.21
541 1083.18 98.7376 958.978
542 1076.99 58.2462 896.947
543 1055.51 22.3973 821.722
544 1019.41 -4.46651 738.026
545 970.771 -19.866 650.586
546 913.262 -23.9847 563.564
547 851.029 -18.9496 481.191
548 788.389 -8.47012 407.286
549 728.39 3.2419 344.662
550 673.337 12.9696 294.635
551 623.122 18.831 255.486
552 577.128 20.3909 222.587
553 534.038 18.7069 189.114
554 492.971 15.5478 148.113
555 454.019 12.2764 94.0151
556 418.315 9.78334 24.7415
557 387.365 8.32655 -58.7269
558 362.025 7.66696 -152.802
559 342.668 7.00328 -252.056
560 328.367 5.70286 -350.449
561 318.235 2.86864 -442.025
562 311.601 -2.26015 -522.273
563 307.975 -11.1617 -587.58
564 307.311 -24.5627 -635.662
565 309.731 -43.3049 -666.532
566 314.428 -67.0808 -681.772
567 320.175 -94.4853 -684.015
568 325.265 -123.104 -677.467
569 327.892 -149.307 -665.576
570 327.157 -169.307 -651.38
571 322.433 -179.697 -636.901
572 313.665 -178.139 -623.336
573 300.67 -164.05 -611.556
574 282.917 -138.521 -602.479
575 259.93 -104.126 -597.029
