# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
584 -174.409 -66.6587 3.93917
585 -172.361 -96.8829 -6.91792
586 -168.423 -126.919 -18.9822
587 -162.736 -155.839 -31.3005
588 -154.843 -182.693 -42.6054
589 -143.322 -206.776 -50.5836
590 -126.656 -226.8 -52.7812
591 -103.331 -241.995 -46.7622
592 -72.3603 -250.915 -29.6593
593 -33.7736 -252.228 0.835017
594 11.4307 -244.589 46.0771
595 60.441 -226.961 106.439
596 110.115 -199.999 179.952
597 156.745 -165.042 263.214
598 196.737 -124.299 351.016
599 227.173 -81.5585 437.361
600 245.916 -40.4489 515.659
601 251.446 -3.71803 580.067
602 243.406 27.0092 626.646
603 222.023 51.0201 653.182
604 188.725 68.7314 659.596
605 145.527 80.5997 647.409
606 94.7499 86.7296 619.064
607 38.3776 86.4371 577.624
608 -22.1778 78.6081 526.442
609 -86.5236 61.6756 468.325
610 -154.567 33.4874 406.154
611 -226.211 -7.37672 342.983
612 -299.728 -61.7371 281.89
613 -372.369 -128.816 225.697
614 -439.598 -205.57 177.093
615 -496.597 -288.037 138.488
616 -539.238 -371.019 111.376
617 -565.137 -449.375 95.5756
618 -573.95 -518.516 89.484
619 -567.842 -574.941 90.4931
620 -549.792 -616.037 94.9609
621 -523.78 -641.046 99.9077
622 -493.517 -650.923 103.371
623 -460.967 -648.12 104.549
624 -427.2 -636.129 103.573
625 -391.857 -619.585 101.078
626 -354.56 -602.503 96.9312
627 -314.519 -588.503 90.671
628 -271.589 -579.909 81.167
629 -226.059 -577.231 66.3032
630 -178.668 -579.196 44.4652
631 -130.885 -582.889 14.734
632 -84.6767 -584.244 -23.3317
633 -41.6562 -578.949 -68.4888
634 -3.93745 -563.694 -118.011
635 27.5842 -536.3 -168.791
636 51.7369 -495.921 -216.612
637 68.6302 -443.379 -258.033
638 78.6274 -380.426 -289.879
639 82.3248 -309.362 -309.932
640 80.1754 -233.689 -318.214
641 73.1838 -156.945 -315.261
642 62.4311 -83.3607 -303.281
643 49.4235 -16.8789 -285.442
644 36.0393 37.9202 -265.298
645 24.2637 77.5679 -246.075
646 15.0277 99.3987 -231.124
647 8.76893 102.514 -222.759
648 4.68439 87.626 -221.551
649 0.909629 57.211 -226.873
650 -4.50098 15.4726 -236.898
651 -13.213 -33.3909 -248.974
652 -25.8777 -85.1174 -260.573
